,precision,recall,f1-score,support
Apartment,0.0,0.0,0.0,1.0
Car,0.0,0.0,0.0,2.0
Clothes,1.0,0.14285714285714285,0.25,14.0
Dante,1.0,0.7631578947368421,0.8656716417910447,38.0
Entertainment,0.8181818181818182,0.4090909090909091,0.5454545454545454,22.0
Family,1.0,0.4,0.5714285714285714,5.0
Financial,1.0,1.0,1.0,2.0
Food & Drink,0.6890243902439024,0.846441947565543,0.7596638655462185,267.0
Groceries,0.9302325581395349,0.6666666666666666,0.7766990291262136,60.0
Home,0.6370967741935484,0.8977272727272727,0.7452830188679245,88.0
Medical,1.0,0.5384615384615384,0.7,13.0
Misc,0.6428571428571429,0.6666666666666666,0.6545454545454545,81.0
Personal,1.0,0.6666666666666666,0.8,6.0
Subscriptions,0.6666666666666666,0.8333333333333334,0.7407407407407407,24.0
Transportation,0.9640287769784173,0.7928994082840237,0.8701298701298701,169.0
Travel-Airline,1.0,0.9565217391304348,0.9777777777777777,23.0
Travel-Lodging,1.0,0.5555555555555556,0.7142857142857143,27.0
accuracy,0.7660332541567696,0.7660332541567696,0.7660332541567696,0.7660332541567696
macro avg,0.7851816545447664,0.5962380436319173,0.6453929546878867,842.0
weighted avg,0.7990977122248306,0.7660332541567696,0.762223605197748,842.0
