Text,True Category,Predicted Category
spotify usa new york ny spotify usa new york ny,Entertainment,Subscriptions
aplpay 342169 relay annecy ht aplpay 342169 relay annecy ht,Groceries,Food & Drink
aplpay family pride lombard il aplpay family pride lombard il,Dante,Home
aplpay pure green gochicago il aplpay pure green gochicago il,Food & Drink,Transportation-Fuel
aplpay cvs pharmacy chicago il aplpay cvs pharmacy chicago il,Medical,Misc
aplpay dunkin 35214chicago il aplpay dunkin 35214chicago il,Food & Drink,Transportation-Fuel
aplpay cvs pharmacy chicago il aplpay cvs pharmacy chicago il,Medical,Misc
csc servicework 0000bolingbrook il csc servicework 0000bolingbrook il,Groceries,Food & Drink
aplpay apple com bilinternet charge ca aplpay apple com bilinternet charge ca,Merchandise & Supplies-Internet Purchase,Phone
aplpay dunkin 35773bolingbrook il aplpay dunkin 35773bolingbrook il,Food & Drink,Transportation-Fuel
spotify usa new york ny spotify usa new york ny,Entertainment,Subscriptions
clutter culver city ca clutter culver city ca,Transportation-Other Transportation,Home
aplpay dunkin 35773bolingbrook il aplpay dunkin 35773bolingbrook il,Food & Drink,Transportation-Fuel
monoprix lecourbe moparis fr monoprix lecourbe moparis fr,Groceries,Food & Drink
park chicago mobile chicago il park chicago mobile chicago il,Transportation,Transportation-Parking Charges
aplpay family pride lombard il aplpay family pride lombard il,Dante,Home
aplpay 342169 relay annecy ht aplpay 342169 relay annecy ht,Groceries,Food & Drink
aplpay pure green gochicago il aplpay pure green gochicago il,Food & Drink,Transportation-Fuel
monoprix lecourbe moparis fr monoprix lecourbe moparis fr,Groceries,Food & Drink
aplpay dunkin 35214chicago il aplpay dunkin 35214chicago il,Food & Drink,Transportation-Fuel
annecy sncf746008651annecy fr annecy sncf746008651annecy fr,Transportation-Rail Services,Food & Drink
